Paris,
-0052/01/01,Roman Republic
-0049/01/10,Populares Faction
-0045/03/17,Roman Republic
-0027/01/16,Roman Empire
0260/09/01,Gallic Empire
0274/02/01,Roman Empire
0486/01/01,Francia
0800/12/25,Carolingian Empire
0843/08/01,West Francia
0987/07/03,Kingdom of France
1420/05/21,Kingdom of England
1436/04/13,Kingdom of France
1792/09/21,First Republic
1804/05/18,First French Empire
1814/03/31,"Sixth Coalition Occupation
"
1814/04/06,Kingdom of France
1815/03/20,First French Empire
1815/07/06,Seventh Coalition Occupation
1815/07/08,Kingdom of France
1848/02/24,"Second Republic
"
1852/01/14,Second French Empire
1870/09/04,Third Republic
1871/03/18,Paris Commune
1871/05/28,Third Republic
1940/06/14,Nazi Military Administration
1944/08/25,Provisional Government of the French Republic
1946/10/27,Fourth Republic
1958/10/04,Fifth Republic
